ID001,구역 이름,구역 효과,구역 골드 보상 배율,구역 보석 보상 일반,구역 보석 보상 무한01,구역 보석 보상 무한02,구역 보석 보상 무한03,구역 보석 보상 무한04,구역 보석 보상 무한05,구역 보석 보상 합계,구역 설명줄01,구역 설명줄02,구역 설명줄03,ID002,일지 이름,일지 조건 이름,일지 구역ID,일지 조건 설명,일지 조건 유형,일지 조건 값A,일지 조건 값B,일지 해금 구역,일지 보상 보석 개수,일지 설명줄01,일지 설명줄02,일지 설명줄03,일지 설명줄04,일지 설명줄05,일지 설명줄06,일지 설명줄07,일지 설명줄08,일지 설명줄09,일지 설명줄10,UI001,일지개수
0,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,0,Explain,Explain,0 ,Explain,Explain,0 ,0 ,0 ,0 ,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,기본,14
1,Matrizes,`,120 ,15 ,8 ,8 ,8 ,7 ,3 ,34 ,"Esta instalação está localizada no centro abandonado da cidade, fora do laboratório.",Foi projetada para analisar como os Espíritos sofrem mutações dependendo do ambiente.,`,1,Guerra dos Invocadores,Matrizes,1 ,`,`,720 ,0 ,2 ,200 ,Este mundo não conhece escassez.,Guerras eram iniciadas puramente por diversão.,Mas apenas Espíritos e Golems lutavam nessas guerras.,`,`,`,`,`,`,`,`,`
2,Laboratório,`,150 ,18 ,10 ,10 ,10 ,9 ,4 ,43 ,A pesquisa conduzida neste laboratório foca na manipulação de como os Espíritos sofrem mutações,para compreender os padrões comportamentais do vírus.,`,2,Homúnculo,Laboratório,2 ,`,`,720 ,0 ,3 ,300 ,Uma guerra sem humanos não era divertida de assistir.,"Assim, os humanos fizeram brinquedos à sua imagem",e eles se tornaram soldados de brinquedo conforme projetados.,`,`,`,`,`,`,`,`,`
3,Sistema de Esgoto,`,180 ,21 ,12 ,11 ,10 ,9 ,5 ,47 ,Todos os resíduos do laboratório são incinerados,e os resíduos incinerados são processados quimicamente e despejados na rede de esgoto.,`,3,Poluição,Sistema de Esgoto,3 ,`,`,900 ,0 ,4 ,300 ,"As guerras travadas pelos homúnculos eram grandes, dramáticas e, acima de tudo, divertidas de assistir.",Mas as inúmeras magias destrutivas usadas durante essas guerras,poluíram as próprias características da mana espalhadas por todo o mundo.,`,`,`,`,`,`,`,`,`
4,Arredores da Cidade,`,210 ,23 ,13 ,12 ,11 ,10 ,5 ,51 ,Essas estradas nos arredores da cidade,tiveram muito tráfego de carga no passado.,`,4,Enxame,Arredores da Cidade,4 ,`,`,900 ,0 ,5 ,300 ,Seres não identificados começaram a aparecer por todo o mundo.,"Eles comiam tudo e qualquer coisa viva,","e voltaram em maior número, mesmo depois de eliminados.",`,"Esses seres foram chamados de ""Enxame"" devido a essa característica.",`,`,`,`,`,`,`
5,Arboreto,`,240 ,24 ,13 ,12 ,11 ,10 ,6 ,52 ,Esta floresta circunda todo o complexo laboratorial.,Os pesquisadores podem relaxar neste ambiente calmo.,`,5,Pesquisa,Arboreto,5 ,`,`,900 ,0 ,6 ,300 ,"O Enxame que seguia se multiplicando era certamente considerado perigoso,",mas os estudiosos ainda consideravam uma fonte de entretenimento.,`,`,`,`,`,`,`,`,`,`
6,Academia,Nível inicial +10,270 ,25 ,14 ,13 ,12 ,11 ,6 ,56 ,Esta instalação foi criada para promover a pesquisa acadêmica,em várias disciplinas e escolas de magia.,`,6,Classificação,Academia,6 ,`,`,900 ,0 ,7 ,300 ,Foi confirmado que o Enxame se originou de mana.,"Embora tenham sido classificados como Espíritos por terem sido criados a partir de mana,",a tendência de se replicar e crescer dependendo de estímulos externos,não era diferente da de um vírus.,`,`,`,`,`,`,`,`
7,Usina Elétrica,`,300 ,27 ,15 ,14 ,13 ,12 ,7 ,61 ,"O experimento exigia cada vez mais eletricidade à medida que se expandia,",e uma grande usina elétrica foi construída perto do laboratório.,`,7,Orbe de Mana,Usina Elétrica,7 ,`,`,1080 ,0 ,8 ,400 ,Os produtos feitos a partir da reciclagem de extratos de Enxame,revelaram-se uma fonte eficaz de mana.,`,`,`,`,`,`,`,`,`,`
8,Sala Limpa,`,330 ,29 ,16 ,15 ,14 ,13 ,7 ,65 ,Os vírus analisados são produzidos em massa aqui,e a área está sob vigilância rigorosa.,`,8,Cambion,Sala Limpa,8 ,`,`,1080 ,0 ,9 ,400 ,Descobriu-se que o Enxame só cresce com estímulos externos.,"Se julgar que a resposta do alvo é perigosa para si mesmo,",o Enxame assume uma forma mais perigosa.,`,`,`,`,`,`,`,`,`
9,Reservatório,`,360 ,30 ,17 ,16 ,15 ,14 ,8 ,70 ,"Esta instalação foi construída sobre um lago para manter um abastecimento constante de água,","e acabou sendo conectada também à cidade, após mais desenvolvimento.",`,9,Inimigo,Reservatório,9 ,`,`,1080 ,0 ,10 ,400 ,Era necessário um inimigo adequado para levar o Enxame ao seu potencial máximo.,"Como os criminosos normais não eram fortes o suficiente para serem seus adversários,",eles logo foram substituídos por homúnculos.,`,`,`,`,`,`,`,`,`
