ID001,구역 이름,구역 효과,구역 골드 보상 배율,구역 보석 보상 일반,구역 보석 보상 무한01,구역 보석 보상 무한02,구역 보석 보상 무한03,구역 보석 보상 무한04,구역 보석 보상 무한05,구역 보석 보상 합계,구역 설명줄01,구역 설명줄02,구역 설명줄03,ID002,일지 이름,일지 조건 이름,일지 구역ID,일지 조건 설명,일지 조건 유형,일지 조건 값A,일지 조건 값B,일지 해금 구역,일지 보상 보석 개수,일지 설명줄01,일지 설명줄02,일지 설명줄03,일지 설명줄04,일지 설명줄05,일지 설명줄06,일지 설명줄07,일지 설명줄08,일지 설명줄09,일지 설명줄10,UI001,일지개수
0,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,0,Explain,Explain,0 ,Explain,Explain,0 ,0 ,0 ,0 ,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,기본,14
1,Arrays,`,120 ,15 ,8 ,8 ,8 ,7 ,3 ,34 ,"Diese Anlage befindet sich im verlassenen Stadtzentrum außerhalb des Labors,","Sie wurde gebaut, um zu analysieren, wie Geister je nach Umgebung mutieren.",`,1,Krieg der Beschwörer,Arrays,1 ,`,`,720 ,0 ,2 ,200 ,In dieser Welt gibt es keine Knappheit.,Kriege wurden nur zur Unterhaltung angezettelt.,Aber nur Geister und Golems kämpften in diesen Kriegen.,`,`,`,`,`,`,`,`,`
2,Labor,`,150 ,18 ,10 ,10 ,10 ,9 ,4 ,43 ,Die Forschung in diesem Labor konzentriert sich auf die Manipulation der Mutation von Geistern,um die Verhaltensmuster des Virus zu verstehen.,`,2,Homunkulus,Labor,2 ,`,`,720 ,0 ,3 ,300 ,Ein Krieg ohne Menschen war nicht lustig anzuschauen.,"Also schufen die Menschen Spielzeuge nach ihrem Vorbild,",und sie wurden zu Spielzeugsoldaten nach ihren Vorstellungen.,`,`,`,`,`,`,`,`,`
3,Abwassersystem,`,180 ,21 ,12 ,11 ,10 ,9 ,5 ,47 ,"Alle Abfälle aus dem Labor werden verbrannt,",und die verbrannten Abfälle werden dann chemisch aufbereitet und in die Kanalisation geleitet.,`,3,Verschmutzung,Abwassersystem,3 ,`,`,900 ,0 ,4 ,300 ,"Die Kriege, die die Homunculi führten, waren groß, dramatisch und vor allem lustig anzusehen.","Aber die zahllosen zerstörerischen Magien, die in diesen Kriegen eingesetzt wurden,","verschmutzten die Eigenschaften des Manas, das über die ganze Welt verstreut war.",`,`,`,`,`,`,`,`,`
4,Außenbezirke der Stadt,`,210 ,23 ,13 ,12 ,11 ,10 ,5 ,51 ,Auf diesen Straßen in den Außenbezirken der Stadt,waren in der Vergangenheit stark vom Güterverkehr frequentiert.,`,4,Schwarm,Außenbezirke der Stadt,4 ,`,`,900 ,0 ,5 ,300 ,Unbekannte Wesen tauchten überall auf der Welt auf.,"Sie fraßen alles Lebendige auf,","und kehrten in immer größerer Zahl zurück, selbst nachdem sie ausgerottet worden waren.",`,"Diese Wesen wurden aufgrund dieser Eigenschaft [""Schwarm“] genannt.",`,`,`,`,`,`,`
5,Arboretum,`,240 ,24 ,13 ,12 ,11 ,10 ,6 ,52 ,Dieser Wald umgibt den gesamten Laborkomplex.,In dieser beruhigenden Umgebung können sich die Forscher entspannen.,`,5,Forschung,Arboretum,5 ,`,`,900 ,0 ,6 ,300 ,"Der sich ständig vervielfältigende Schwarm wurde zwar als gefährlich angesehen,",aber die Gelehrten betrachteten ihn trotzdem als eine Quelle der Unterhaltung.,`,`,`,`,`,`,`,`,`,`
6,Akademie,Startstufe +10,270 ,25 ,14 ,13 ,12 ,11 ,6 ,56 ,Diese Einrichtung wurde zur Förderung der akademischen Forschung,in verschiedenen Disziplinen und Schulen der Magie.,`,6,Klassifizierung,Akademie,6 ,`,`,900 ,0 ,7 ,300 ,"Es wurde bestätigt, dass der Schwarm aus Mana entstanden ist.","Obwohl sie als Geister klassifiziert wurden, weil sie aus Mana entstanden sind,","aber ihre Tendenz, sich zu vermehren und abhängig von äußeren Reizen zu wachsen",war der eines Virus nicht unähnlich.,`,`,`,`,`,`,`,`
7,Kraftwerk,`,300 ,27 ,15 ,14 ,13 ,12 ,7 ,61 ,"Als das Experiment immer größer wurde, brauchte es immer mehr Strom,",und ein großes Kraftwerk wurde in der Nähe des Labors gebaut.,`,7,Mana-Kugel,Kraftwerk,7 ,`,`,1080 ,0 ,8 ,400 ,"Die Produkte, die durch das Recycling von Schwarmextrakten hergestellt wurden",erwiesen sich als effektive Mana-Quelle.,`,`,`,`,`,`,`,`,`,`
8,Reinraum,`,330 ,29 ,16 ,15 ,14 ,13 ,7 ,65 ,"Viren, die analysiert werden, werden hier in Massenproduktion hergestellt,",und der Bereich steht unter strenger Überwachung.,`,8,Cambion,Reinraum,8 ,`,`,1080 ,0 ,9 ,400 ,"Es wurde entdeckt, dass der Schwarm nur durch äußere Reize wächst.","Wenn er die Reaktion des Ziels als gefährlich für sich selbst einschätzt,",mutiert er zu einer noch gefährlicheren Form.,`,`,`,`,`,`,`,`,`
9,Stausee,`,360 ,30 ,17 ,16 ,15 ,14 ,8 ,70 ,"Diese Anlage wurde auf einem See gebaut, um die Wasserversorgung aufrechtzuerhalten,",und wurde nach weiterer Entwicklung schließlich auch an die Stadt angeschlossen.,`,9,Gegner,Stausee,9 ,`,`,1080 ,0 ,10 ,400 ,"Um das volle Potenzial des Schwarms auszuschöpfen, war ein geeigneter Gegner erforderlich.","Da normale Kriminelle nicht stark genug waren, um ihre Gegner zu sein,",wurden sie bald durch Homunculi ersetzt.,`,`,`,`,`,`,`,`,`
