ID001,구역 이름,구역 효과,구역 골드 보상 배율,구역 보석 보상 일반,구역 보석 보상 무한01,구역 보석 보상 무한02,구역 보석 보상 무한03,구역 보석 보상 무한04,구역 보석 보상 무한05,구역 보석 보상 합계,구역 설명줄01,구역 설명줄02,구역 설명줄03,ID002,일지 이름,일지 조건 이름,일지 구역ID,일지 조건 설명,일지 조건 유형,일지 조건 값A,일지 조건 값B,일지 해금 구역,일지 보상 보석 개수,일지 설명줄01,일지 설명줄02,일지 설명줄03,일지 설명줄04,일지 설명줄05,일지 설명줄06,일지 설명줄07,일지 설명줄08,일지 설명줄09,일지 설명줄10,UI001,일지개수
0,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,0,Explain,Explain,0 ,Explain,Explain,0 ,0 ,0 ,0 ,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,기본,14
1,Изолированная зона,`,120 ,15 ,8 ,8 ,8 ,7 ,3 ,34 ,"Находится в центре заброшенного города, за пределами лаборатории.",Здесь анализируют мутацию духов в разных условиях среды.,`,1,Война призывов,Изолированная зона,1 ,`,`,720 ,0 ,2 ,200 ,"Мир, в котором есть все.",Люди затеяли здесь войну исключительно ради веселья.,Но в этой войне участвовали только духи и големы.,`,`,`,`,`,`,`,`,`
2,Лаборатория,`,150 ,18 ,10 ,10 ,10 ,9 ,4 ,43 ,Здесь при помощи специального оборудования исследуют вирусы.,"Контролируя мутацию духов, можно изучить поведенческие модели вирусов.",`,2,Гомункулы,Лаборатория,2 ,`,`,720 ,0 ,3 ,300 ,Война без участия людей оказалась не особо увлекательной.,Поэтому люди создали игрушек по своему подобию,и отправили их на поле боя.,`,`,`,`,`,`,`,`,`
3,Канализация,`,180 ,21 ,12 ,11 ,10 ,9 ,5 ,47 ,"Весь мусор из лаборатории сжигается, а все, что остается,",проходит химическую обработку и спускается в канализацию.,`,3,Заражение,Канализация,3 ,`,`,900 ,0 ,4 ,300 ,"Масштаб войны с гомункулами оказался колоссальным, это было завораживающее зрелище.","Однако в ходе войны применялась разрушительная магия,","которая осквернила само естество маны, наполняющей этот мир.",`,`,`,`,`,`,`,`,`
4,Окраины,`,210 ,23 ,13 ,12 ,11 ,10 ,5 ,51 ,Дорога на краю города.,По ней часто перевозят различные грузы.,`,4,Рой,Окраины,4 ,`,`,900 ,0 ,5 ,300 ,По всему миру стали появляться какие-то неопознанные твари.,Они пожирают все живое на своем пути.,"А когда их уничтожаешь, они возвращаются в еще больших количествах.",`,Из-за такой особенности их назвали [«Рой»].,`,`,`,`,`,`,`
5,Дендрарий,`,240 ,24 ,13 ,12 ,11 ,10 ,6 ,52 ,Окружает лабораторию со всех сторон.,Создавался как приятное место отдыха для исследователей.,`,5,Исследование,Дендрарий,5 ,`,`,900 ,0 ,6 ,300 ,"Бесконечно размножающийся Рой был определен как угроза,",но ученым он казался занимательным явлением.,`,`,`,`,`,`,`,`,`,`
6,Академия,Начальный уровень +10,270 ,25 ,14 ,13 ,12 ,11 ,6 ,56 ,"Учебное заведение, построенное для исследователей.",Здесь можно прикоснуться к различным знаниям и магии.,`,6,Классификация,Академия,6 ,`,`,900 ,0 ,7 ,300 ,"Было установлено, что причиной возникновения Роя была мана.","Произошедших от маны существ классифицировали как духов, однако способность Роя",самореплицироваться под воздействием раздражителя,походила на свойство вирусов.,`,`,`,`,`,`,`,`
7,Электростанция,`,300 ,27 ,15 ,14 ,13 ,12 ,7 ,61 ,"С увеличением масштаба исследований потребовались более мощные источники энергии, поэтому рядом с лабораторией",возвели большой энергетический комплекс.,`,7,Крупицы маны,Электростанция,7 ,`,`,1080 ,0 ,8 ,400 ,"Вещество, получаемое после переработки выделенного из роя"," экстракта, оказалось весьма эффективным источником маны.",`,`,`,`,`,`,`,`,`,`
8,Инкубатор,`,330 ,29 ,16 ,15 ,14 ,13 ,7 ,65 ,В этой зоне искусственно воссоздаются предварительно изученные вирусы.,Здесь очень строгая пропускная система.,`,8,Камбион,Инкубатор,8 ,`,`,1080 ,0 ,9 ,400 ,"Выяснилось, что Рой растет только под воздействием раздражителя.","Если реакция объекта нападения оценивается как опасная,",то тварь может мутировать в еще более агрессивную форму.,`,`,`,`,`,`,`,`,`
9,Водохранилище,`,360 ,30 ,17 ,16 ,15 ,14 ,8 ,70 ,Этот объект был создан на месте группы озер для поставок большого объема воды.,После расширения водохранилище оказалось в черте города.,`,9,Враг,Водохранилище,9 ,`,`,1080 ,0 ,10 ,400 ,Чтобы пробудить весь потенциал Роя требовался соответствующий противник.,"Обычных бандитов для этого было недостаточно,",поэтому в бой отправили большой отряд гомункулов.,`,`,`,`,`,`,`,`,`
10,Лес,`,380 ,31 ,17 ,16 ,15 ,14 ,8 ,70 ,Большая часть исследовательского комплекса построена,на гористой местности и недоступна для посторонних.,`,10,Изолированная зона,Лес,10 ,`,`,1080 ,0 ,11 ,400 ,"Масштаб экспериментов увеличивался,",и было принято решение пожертвовать селениями рядом с,лабораторией ради изучения путей размножения Роя.,`,`,`,`,`,`,`,`,`
11,Город,`,400 ,32 ,18 ,17 ,16 ,15 ,8 ,74 ,"Поставки товаров в город были как никогда щедрыми, и город процветал.",`,`,11,Открытие,Город,11 ,`,`,1080 ,0 ,12 ,400 ,"Казалось, что Рой может разрастаться бесконечно.","Однако вскоре было замечено, что существа подчиняются","некой внешней силе – то ли в силу какого-то инстинкта, то ли по собственной воле.",`,`,`,`,`,`,`,`,`
12,Виртуальная экосистема,`,500 ,0 ,10 ,12 ,15 ,18 ,20 ,75 ,"Хорошее место, чтобы применить весь накопленный опыт и знания.",`,`,12,Постоянство,Граница,12 ,`,`,1800 ,0 ,13 ,500 ,Наконец ситуацию удалось стабилизировать.,"Но твари все еще были нужны,",и полностью уничтожать их не стали.,`,`,`,`,`,`,`,`,`
13,Глубинная зона,`,400 ,0 ,12 ,0 ,0 ,0 ,0 ,0 ,Эксперименты должны продолжаться.,`,`,13,успех исследования,Глубинная зона,13 ,`,`,1500 ,0 ,14 ,500 ,"Они, естественно, предположили, что продукты стаонной эволюции, обнаруженные в ходе их исследований, принесли им пользу.","Однако они не эволюционировали, чтобы убивать врага перед собой.","Скорее, они хотели превратиться в эффективные питательные вещества, и посредством этого они выращивали и анализировали гомункулов.","Точно так же, как мы изучали стаи...",`,`,`,`,`,И результаты стали суровым испытанием для человечества.,`,`
14,Терра,`,400 ,0 ,20 ,0 ,0 ,0 ,0 ,0 ,Наступает новая эра.,`,`,14,Золотой век,Терра,14 ,`,`,1500 ,0 ,15 ,500 ,"После веков войны с Королём демонов @ мы поверили, что [Утопия] наконец наступит.",`,"Однако трагедии прошлого, когда решалась жизнь и смерть, превратились в простое развлечение @ и мир пал в разврат через удовольствие.",`,Из этого хаоса родились ужасающие создания: [Гомункул] и [Рой].,Но эксперименты не прекратились. @ Мы увидели в этих чудовищах новые возможности...,`,"【Надежда на то, что страх может возродиться.】",`,`,`,`
15,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,15,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
16,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,16,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
17,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,17,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
18,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,18,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
19,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,19,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
20,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,20,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
21,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,21,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
22,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,22,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
23,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,23,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
24,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,24,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
25,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,25,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
26,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,26,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
27,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,27,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
28,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,28,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
29,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,29,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
30,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,30,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
31,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,31,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
32,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,32,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
33,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,33,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
34,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,34,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
35,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,35,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
36,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,36,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
37,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,37,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
38,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,38,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
39,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,39,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
40,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,40,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
41,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,41,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
42,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,42,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
43,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,43,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
44,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,44,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
45,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,45,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
46,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,46,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
47,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,47,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
48,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,48,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
49,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,49,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
50,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,50,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
51,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,51,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
52,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,52,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
53,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,53,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
