ID001,메인 메뉴,자동 저장,학파선택,구역선택,연구,실험체,상점,설정,구글 클라우드,도감,일지,게임종료,전투 인터페이스,전투 정보,전투 기록,아티팩트 등급,전투 능력치,마법 능력치
0,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain
1,遊戲開始,讀取,學派,區域進入,研究,實驗體,商店,設定,儲存,圖鑑,日誌,確定結束遊戲嗎？,當前等級,持有魔法,最長生存時間,普通,體力,傷害量
2,研究,確定繼續進行嗎？,請選擇想要的學派,金幣獲得量,選擇所需的研究,請選擇想要的實驗體,若刪除遊戲，遊戲數據也會被一併刪除。@ 您可以透過選項視窗的<Google雲端硬碟>進行儲存或讀取。,語言,遊戲數據已儲存至<Google雲端硬碟>。,日誌,情況記錄,結束,生存時間,持有神器,實驗成功,稀有,每秒體力恢復率,傷害間隔
3,實驗體,確認,選擇完畢,是否進入該區域？,購買研究要點,選擇,金幣,聲音,實行,魔法,實驗記錄,離開,敵軍消滅次數,當前所持有的神器。,實驗失敗,英雄,受到的傷害量,發射速度
4,商店,取消,熟練度,支付金幣,研究完成,應用中,寶石,開,取消,組合,區域解鎖,確定放棄嗎？ @ 放棄後將進入結算畫面。,繼續挑戰,離開,戰鬥記錄,特殊,閃避率,發射間隔
5,選項,金幣恢復,大師,無限模式,購買研究要點,ㅁ 實驗體,救援,関,讀取,神器,金幣,放棄,放棄遊戲,魔法選擇,特殊效果,傳說,移動速度,爆炸範圍
6,圖鑑,由於之前未能正常結束 @ 將獲得曾獲得的金幣,`,硬核模式,研究,ㅁ 學派,去除遊戲內所有廣告,方向操縱,已讀取儲存於<Google雲端硬碟>的遊戲數據。,離開,確認,離開,遊戲結束,法力,確認,`,暴擊率,體積
7,日誌,金幣獲得量： ,`,（硬核）,回收,`,追加支援,固定,實行,請在區域內獲得神器,雲端儲存,`,角色等級,回收,`,`,暴擊倍率,持續時間
8,排名,確認,`,`,研究點數,`,區域金幣獲得量 x2,觸摸,取消,請在區域內習得專精,請將目前進度儲存至 Google 雲端 @ 在其他裝置上也能繼續遊玩。,`,金幣,無法回收更多法力了,`,普通神器,攻擊力,個數
9,`,`,`,`,`,`,研究資料,左側,處理中…,組合魔法2個,立即儲存,`,細胞獲得量,神器選擇,`,稀有神器,所有魔法傷害量（減少）,冷卻時間
10,`,`,`,`,`,`,隨機獲得學派,中央,網路錯誤,所有被動魔法,硬核模式,`,實驗進度,請選擇想要的神器,`,英雄神器,攻擊力增幅,增幅效果量
11,數十年來由於魔法師們的戰爭，殺戮性魔法被濫用…,`,`,`,`,`,研究資料,右側,沒有偵測到網路。@ 請再此嘗試或確認網路連線。,僅可在第3個組合中使用,新難度已解鎖 @ 更強大的敵人將蜂擁而至。,`,獲得,獲得,`,特殊神器,所有魔法面積,旋轉速度
12,那些魔法殘渣滲透到了自然界中的精靈們體內，並將他們變成了會啃食一切生命體的餓鬼。,`,`,`,`,`,研究資料 x10,操縱盤大小,儲存成功,你將獲得強大的力量。,讀取,`,研究完成,丟棄,`,傳說神器,所有魔法持續時間,`
13,`,`,`,`,`,`,限定1次,小,遊戲數據儲存成功。,協同效應,若存在儲存在 Google 雲端的資料 @ 請使用讀取功能。,`,學派熟練度,丟棄,`,`,所有魔法冷卻時間,`
14,`,`,`,`,`,`,購買完成,中,儲存失敗,究極技,立即讀取,`,持有魔法,專精選擇,`,`,法力獲得量,`
15,生或死,`,`,`,`,`,學派獲得,大,Google Play未連線 @ 數據儲存失敗。,習得,使用金幣購買研究點並強化屬性,`,持有神器,特性選擇,`,`,生命之珠 恢復量,爆炸傷害量
16,死亡,`,`,`,`,`,點擊繼續,Google雲端硬碟,讀取成功,當習得符合條件的魔法組合時，於〈100〉等級啟動。,使用寶石購買學派並強化能力,`,持有魔法,可透過特性更進一步強化魔法。 @ 請選擇想要的特性,`,`,道具獲得範圍,爆炸範圍（固定）
17,復生,`,`,`,`,`,研究資料,儲存,遊戲數據讀取成功。,返回,查看可輔助能力的各種實驗體,`,持有神器,習得,`,`,體力上限,`
18,`,`,`,`,`,`,從剩餘數量中隨機選擇，以 <color=#FFEB9B>1/n</color> 進行結算。 @ 各學派獲得的數量會在相應目錄中刪除。,讀取,讀取失敗,可將魔法組合強化為究極技 @ 請點擊上方按鈕確認,點擊下方按鈕繼續,`,新設學派,取消,`,`,所有魔法傷害,魔法傷害
19,資源讀取中。,請檢查網路連線。,`,`,`,`,購買確認,結束遊戲,Google Play未連線 @ 數據讀取失敗。,請點擊究極技圖示確認,`,`,暫停,可習得特性。,`,`,敵方最大生命值,`
20,刪除遊戲時，遊戲數據也會一併消失。,無法連線至 Google Play 遊戲服務。,`,`,`,`,`,讀取指南,讀取失敗,可將{魔法組合}強化為究極技 @ 請選擇符合條件的[實驗體]與[學派]並達到〈100〉等級,`,`,角色資料,Master,`,`,`,`
21,您可以透過選項視窗的<Google雲端硬碟>進行儲存或讀取。,無法載入排行榜資訊。,`,`,`,`,`,確定要讀取資料嗎？,雲端硬碟沒有儲存中的遊戲數據。,解鎖,`,`,魔法組合,無法使用,攻擊力、移動速度提升,寶箱,`,`
22,`,`,`,`,`,`,`,將套用先前時間點的資料。,返回,新的{魔法組合}已解鎖 @ 可集中強化其中一種魔法。,`,`,無法使用,閃避,無敵狀態持續,遺物盒,`,`
23,魔法生存戰,`,`,`,`,`,`,執行,讀取失敗,新的{魔法組合}已解鎖,`,`,習得,秒,道具獲得範圍提升,黑匣子,`,`
24,`,`,`,`,`,`,`,儲存時間點,未偵測到網路。@ 請結束遊戲再次進行嘗試,傷害公式,`,`,魔法組合,特性習得等級,`,方尖碑,`,`
25,`,`,`,`,`,`,`,特效透明度,手動儲存資料,三項屬性越均衡，效率越高。,`,`,學習符合條件的魔法 @ 每當等級到達〈25、 50、75〉時給予魔法組合次數。,再次投擲,`,破損的方尖碑,`,`
26,`,`,`,`,`,`,`,`,自動儲存資料,`,`,`,離開,可使用次數： ,`,`,`,`
27,`,`,`,`,`,`,`,`,`,`,`,`,學習符合條件的魔法，即可使用魔法組合。 @ 點擊上端的按鈕即可確認組合。,未習得。,`,`,`,`
28,`,`,`,`,`,`,`,`,`,`,`,`,購買,選擇一個法術來強化,`,`,`,`
29,`,`,`,`,`,`,`,`,`,`,`,`,是否要[重擲]來更換選項？,選擇您要購買的產品,`,`,`,`
30,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`
