ID001,메인 메뉴,자동 저장,학파선택,구역선택,연구,실험체,상점,설정,구글 클라우드,도감,일지,게임종료,전투 인터페이스,전투 정보,전투 기록,아티팩트 등급,전투 능력치,마법 능력치
0,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain
1,Играть,Восстановление,Класс,Войти в зону,Исследование,Подопытные,Магазин,Настройки,Сохранить,Энциклопедия,Дневник,Вы хотите выйти из игры?,Текущий уровень,Ваши заклинания,Максимальное время жизни,Обычное,Здоровье,Урон
2,Исследование,Продолжить прерванную игру?,Выберите класс.,Получение золота,Выбор исследования,Выберите подопытного,"Если вы удалите игру, все данные пропадут. @ Используйте Google Cloud для сохранения и восстановления игры в настройках.",Язык,Сохранение игровых данных в Google Cloud,Дневник,Наблюдения,Выйти,Время жизни,Ваши артефакты,Эксперимент удался,Редкое,Исцеление в сек,Интервал урона
3,Подопытные,ОК,Выбрать,Вы хотите войти в зону?,Купить очки исследования,Выбрать,Золото,Звук,Начать,Заклинания,Эксперименты,Назад,Уничтожено врагов :,Полученные вами артефакты.,Эксперимент провален,Героическое,Получаемый урон,Скорость стрельбы
4,Магазин,Отмена,Мастерство,Оплатить золотом,Исследование завершено,Применяется,Алмазы,ВКЛ,Отмена,Комбинации,Открытие зоны,Вы хотите закончить игру? @ Будет открыто окно результатов.,Продолжить игру,Назад,История боя,Особое,Уклонение,Интервал стрельбы
5,Настройки,Возврат золота,Мастер,Бесконечный режим,Покупка очков исследования,Подопытные ㅁ,Спасение,ВЫКЛ,Восстановить,Артефакты,Золото,Закончить,Закончить игру,Выбор заклинания,Особый эффект,Легендарное,Скорость движения,Область взрыва
6,Энциклопедия,Предыдущая игра была завершена некорректно. @ Получите заработанное золото.,`,Хард-режим,Исследование,Класс ㅁ,Удаление всей рекламы,Джойстик,Восстановление игровых данных из Google Cloud,Назад,Подтвердить,Назад,Выйти из игры,Вернуть,ОК,`,Шанс крит. удара,Размер
7,Дневник,Получение золота: ,`,(Хард),Возврат,`,Подкрепление,Закреплен,Начать,Собирайте артефакты в игровой зоне,Облачное сохранение,`,Уровень персонажа,маны,`,`,Усиление крит. удара,Длительность
8,Рейтинг,ОК,`,`,Очки исследований,`,Золото в зонах х2,Свободен,Отмена,Получите особенности в игровой зоне,Сохраните ваш прогресс в Google Cloud @ Можно продолжить игру на других устройствах.,`,Золото,Больше нельзя вернуть ману,`,Обычный артефакт,Сила атаки,Количество
9,`,`,`,`,`,`,Материалы исследования,Слева,Выполняется...,Комбинация из 2 заклинаний,Сохранить сейчас,`,Получение клеток,Выбор артефакта,`,Редкий артефакт,Урон заклинаний (уменьшение),Перезарядка
10,`,`,`,`,`,`,Приобретение случайного класса,В центре,Ошибка сети,Все пассивные заклинания,Хард-режим,`,Прогресс исследования,Выберите желаемый артефакт,`,Героический артефакт,Приумножение атаки,Эффект приумножения
11,"В ходе войны между магами, продолжавшейся десятилетиями, было использовано бесчисленное множество убийственных заклинаний...",`,`,`,`,`,Материалы исследования,Справа,Отсутствует подключение к сети. @ Повторите попытку или проверьте подключение.,Доступно только при 3-й комбинации,Новая сложность разблокирована @ Впереди вас ждут более сильные враги.,`,Получено,Получить,`,Особый артефакт,Размер заклинаний,Скорость вращения
12,"Отголоски этих заклинаний проникали в бродивших на природе духов и превращали их в демонов, которые пожирают все живое на своем пути.",`,`,`,`,`,Материалы исследования х10,Размер джойстика,Сохранено,Вы получите мощную силу.,Загрузка,`,Исследование завершено,Оставить,`,Легендарный артефакт,Длительность заклинаний,`
13,`,`,`,`,`,`,Только 1 раз,S,Данные успешно сохранены.,Синергия,Если данные сохранены в Google Cloud @ используйте функцию загрузки.,`,Мастерство класса,Оставить,`,`,Перезарядка заклинаний,`
14,`,`,`,`,`,`,Куплено,M,Не удалось сохранить,Ультимативное умение,Загрузить сейчас,`,Ваши заклинания,Выбор особенности,`,`,Получение маны,`
15,Жизнь или смерть,`,`,`,`,`,Получен класс,L,Не удалось подключиться к Google Play @ и сохранить игру.,Получается,Покупайте очки Исследования за Золото и усиливайте характеристики,`,Ваши артефакты,Выбор свойства,`,`,Исцеление от крупицы,Урон от взрыва
16,Умереть,`,`,`,`,`,"Коснитесь, чтобы продолжить",Google Cloud,Восстановлено,Активируется на уровне 〈100〉 при изучении соответствующей комбинации магий.,Покупайте Классы за Алмазы и усиливайте способности,`,Ваши заклинания,При помощи свойств можно повышать силу заклинаний. @ Выберите свойство.,`,`,Радиус сбора предметов,Зона взрыва (фикс.)
17,Возродиться,`,`,`,`,`,Материалы исследования,Сохранить,Данные успешно восстановлены.,Возврат,"Просмотрите различные Подопытные, которые поддерживают способности",`,Ваши артефакты,Изучить,`,`,Максим. здоровье,`
