ID001,메인 메뉴,자동 저장,학파선택,구역선택,연구,실험체,상점,설정,구글 클라우드,도감,일지,게임종료,전투 인터페이스,전투 정보,전투 기록,아티팩트 등급,전투 능력치,마법 능력치
0,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain
1,游戏开始,读取,学派,区域进入,研究,实验体,商店,设置,保存,图鉴,日志,确定结束游戏吗？,当前等级,持有魔法,最长生存时间,普通,体力,伤害量
2,研究,确定继续进行吗？,请选择所需的学派,金币获得量,选择所需的研究,请选择所需的实验体,若删除游戏，游戏数据也会被一并删除。 @ 您可以通过选项窗口的<Google云端硬盘>进行保存或读取。,语言,游戏数据已保存至<Google云端硬盘>。,日志,情况记录,结束,生存时间,持有神器,实验成功,稀有,每秒体力恢复率,伤害间隔
3,实验体,确认,选择完毕,是否进入该区域？,购买研究要点,选择,金币,声音,实行,魔法,实验记录,离开,敌军消灭次数,当前所持有的神器。,实验失败,英雄,受到的伤害量,发射速度
4,商店,取消,熟练度,支付金币,研究完成,应用中,宝石,开,取消,组合,区域解锁,确定放弃吗？ @ 放弃后将进入结算画面。,继续游戏,离开,战斗记录,特殊,闪避率,发射间隔
5,选项,金币恢复,大师,无限模式,购买研究要点,ㅁ 实验体,救援,关,读取,神器,金币,放弃,放弃游戏,魔法选择,特殊效果,传说,移动速度,爆炸范围
6,图鉴,由于之前未能完整结束 @ 将获得已获得的金币,`,硬核模式,研究,ㅁ 学派,去除游戏内所有广告,方向操纵,已读取保存于<Google云端硬盘>的游戏数据。,离开,确认,离开,游戏结束,法力,确认,`,暴击率,体积
7,日志,金币获得量： ,`,（硬核）,回收,`,追加支援,固定,实行,请在区域内获得神器,云端存档,`,角色等级,回收,`,`,暴击倍率,持续时间
8,排名,确认,`,`,研究点数,`,区域金币获得量 x2,触摸,取消,请在区域内习得专精,请将当前进度保存至 Google 云端 @ 在其他设备上也能继续游戏。,`,金币,无法回收更多法力了,`,普通神器,攻击力,个数
9,`,`,`,`,`,`,研究资料,左侧,处理中…,组合魔法2个,立即保存,`,细胞获得量,神器选择,`,稀有神器,所有魔法伤害量（减少）,冷却时间
10,`,`,`,`,`,`,随机获得学派,中央,网络错误,所有被动魔法,硬核模式,`,实验进度,请选择想要的神器,`,英雄神器,攻击力增幅,增幅效果量
11,数十年来由于魔法师们的战争，杀戮性魔法被滥用…,`,`,`,`,`,研究资料,右侧,未检测到网络。 @ 请再此尝试或确认网络连接。,仅可在第3个组合中使用,新的难度已解锁 @ 更加强大的敌人将蜂拥而至。,`,获得,获得,`,特殊神器,所有魔法面积,旋转速度
12,那些魔法残渣渗透到了自然界中的精灵们体内，并将他们变成了会啃食一切生命体的饿鬼。,`,`,`,`,`,研究资料 x10,操纵盘大小,保存成功,你将获得强大的力量。,加载,`,研究完成,丢弃,`,传说神器,所有魔法持续时间,`
13,`,`,`,`,`,`,限定1次,小,游戏数据保存成功。,协同效应,如果存在保存于 Google 云端的数据 @ 请使用加载功能。,`,学派熟练度,丢弃,`,`,所有魔法冷却时间,`
14,`,`,`,`,`,`,购买完成,中,保存失败,终极技,立即加载,`,持有魔法,专精选择,`,`,法力获得量,`
15,生或死,`,`,`,`,`,学派获得,大,Google Play未连接 @ 数据保存失败。,习得,使用金币购买研究点并强化属性,`,持有神器,特性选择,`,`,生命之珠 恢复量,爆炸伤害量
16,死亡,`,`,`,`,`,点击继续,Google云端硬盘,读取成功,当学习符合条件的魔法组合时，于〈100〉级激活。,使用宝石购买学派并强化能力,`,持有魔法,可通过特性更进一步强化魔法。 @ 请选择所需的特性,`,`,道具获得范围,爆炸范围（固定）
17,复生,`,`,`,`,`,研究资料,保存,游戏数据读取成功。,返回,查看可辅助能力的各种实验体,`,持有神器,习得,`,`,体力上限,`
18,`,`,`,`,`,`,从剩余数量中随机选择，以 <color=#FFEB9B>1/n</color> 进行结算。 @ 各学派获得的数量也会相应在目录中删除。,读取,读取失败,可以将魔法组合强化为终极技 @ 请点击顶部按钮确认,点击下方按钮继续,`,新设学派,取消,`,`,所有魔法伤害,魔法伤害
19,资源读取中。,请检查网络连接。,`,`,`,`,购买确认,结束游戏,Google Play未连接 @ 数据读取失败。,请点击终极技图标确认,`,`,暂停,可习得特性。,`,`,敌方最大生命值,`
20,删除游戏时，游戏数据也会一并消失。,无法连接到 Google Play 游戏服务。,`,`,`,`,`,加载说明,读取失败,可以将{魔法组合}强化为终极技 @ 请选择符合条件的[实验体]与[学派]并达到〈100〉级,`,`,角色信息,Master,`,`,`,`
21,您可以通过选项窗口的<Google云端硬盘>进行保存或读取。,无法加载排行榜信息。,`,`,`,`,`,确定要加载数据吗？,云端硬盘没有保存中的游戏数据。,解锁,`,`,魔法组合,无法使用,攻击力，移动速度提升,宝箱,`,`
22,`,`,`,`,`,`,`,将应用之前时间点的存档数据。,返回,新的{魔法组合}已解锁 @ 可以专注强化某一种魔法。,`,`,无法使用,闪避,无敌状态持续,遗物盒,`,`
