ID001,메인 메뉴,자동 저장,학파선택,구역선택,연구,실험체,상점,설정,구글 클라우드,도감,일지,게임종료,전투 인터페이스,전투 정보,전투 기록,아티팩트 등급,전투 능력치,마법 능력치
0,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain
1,Bắt đầu,Tải,Trường phái,Vào khu vực,Nghiên cứu,Vật thí nghiệm,Cửa hàng,Cài đặt,Lưu,Bách khoa,Nhật ký,Bạn có muốn thoát game?,Cấp hiện tại,Phép sở hữu,Kỷ lục sinh tồn,Thường,HP,Sát thương
2,Nghiên cứu,Bạn có muốn chơi tiếp từ chỗ đã dừng?,Chọn trường phái,Nhận vàng,Chọn nghiên cứu,Chọn vật thí nghiệm,Gỡ cài đặt game sẽ xóa cả dữ liệu.@Hãy dùng chức năng Lưu/Tải Google Cloud trong màn hình Cài đặt.,Ngôn ngữ,Lưu dữ liệu lên Google Cloud.,Nhật ký,Ghi chú tình huống,Thoát,Thời gian sống sót,Cổ vật sở hữu,Thí nghiệm thành công,Hiếm,Hồi HP mỗi giây,Nhịp sát thương
3,Vật thí nghiệm,Xác nhận,Đã chọn,Bạn có muốn vào khu vực này?,Mua điểm nghiên cứu,Chọn,Vàng,Âm thanh,Có,Phép thuật,Ghi chú thí nghiệm,Quay lại,Kẻ địch đã diệt,Bạn đã sở hữu cổ vật này.,Thí nghiệm thất bại,Sử thi,Sát thương phải chịu,Tốc độ phóng
4,Cửa hàng,Hủy,Tinh thông,Thanh toán,Nghiên cứu hoàn tất,Đang áp dụng,Đá quý,BẬT,Không,Kết hợp,Mở khóa khu vực,Bạn muốn bỏ cuộc? @ Bạn sẽ chuyển đến màn hình Kết quả.,Chơi tiếp,Quay lại,Hồ sơ chiến đấu,Đặc biệt,Né tránh,Nhịp phóng
5,Tùy chọn,Khôi phục vàng,Bậc thầy,Chế độ vô hạn,Bạn sẽ mua một Điểm nghiên cứu.,ㅁ Vật thí nghiệm,Cứu rỗi,TẮT,Tải,Cổ vật,Vàng,Bỏ cuộc,Bỏ cuộc,Chọn phép,Hiệu ứng đặc biệt,Huyền thoại,Tốc độ di chuyển,Phạm vi nổ
6,Bách khoa,Bạn sẽ nhận lại số vàng đã kiếm được @ do phiên chơi trước không kết thúc đúng cách.,`,Chế độ khó,Nghiên cứu,ㅁ Trường phái,Xóa toàn bộ quảng cáo trong game,Cần điều khiển,Tải dữ liệu từ Google Cloud.,Quay lại,Xác nhận,Quay lại,Thoát game,Mana,Xác nhận,`,Tỷ lệ chí mạng,Kích thước
7,Nhật ký,Vàng nhận được: ,`,(Khó),Hoàn tác,`,Hỗ trợ thêm,Cố định,Có,Nhận cổ vật ở khu vực này,Lưu đám mây,`,Cấp nhân vật,Thu hồi,`,`,Hệ số chí mạng,Thời gian hiệu lực
8,Xếp hạng,Xác nhận,`,`,Điểm nghiên cứu,`,Vàng khu vực x2,Chạm,Không,Nhận chuyên hóa ở khu vực này,Lưu tiến trình lên Google Cloud @ Chơi tiếp trên thiết bị khác.,`,Vàng,Không thể thu hồi Mana nữa,`,Cổ vật thường,ATK,Số lượng
9,`,`,`,`,`,`,Nguyên liệu nghiên cứu,Trái,Đang xử lý...,2 phép kết hợp,Lưu ngay,`,Tế bào nhận được,Chọn cổ vật,`,Cổ vật hiếm,Sát thương mọi phép (giảm),Hồi chiêu
10,`,`,`,`,`,`,Nhận ngẫu nhiên một trường phái.,Giữa,Lỗi mạng,Mọi phép bị động,Chế độ khó,`,Tiến độ thí nghiệm,Chọn cổ vật mong muốn,`,Cổ vật sử thi,Khuếch đại ATK,Hiệu ứng khuếch đại
11,Vô số phép hủy diệt được sử dụng bừa bãi trong cuộc chiến hàng chục năm giữa các pháp sư...,`,`,`,`,`,Nguyên liệu nghiên cứu,Phải,Không phát hiện kết nối mạng. @ Hãy thử lại hoặc kết nối mạng,Chỉ khả dụng ở lần kết hợp thứ 3,Độ khó mới đã được mở. @ Kẻ địch mạnh hơn đang kéo đến.,`,Đã nhận,Nhận,`,Cổ vật đặc biệt,Kích thước mọi phép,Tốc độ xoay
12,"Tàn dư của những phép thuật ấy thấm vào các linh hồn ngụ trong tự nhiên, và giờ đây chúng đang nuốt chửng dần mọi sinh linh.",`,`,`,`,`,Nguyên liệu nghiên cứu x10,Cỡ cần điều khiển,Lưu thành công,Bạn sẽ nhận được sức mạnh to lớn.,Tải,`,Nghiên cứu hoàn tất,Vứt bỏ,`,Cổ vật huyền thoại,Thời gian hiệu lực mọi phép,`
13,`,`,`,`,`,`,Chỉ 1 lần,Nhỏ,Đã lưu dữ liệu thành công.,Cộng hưởng,Nếu dữ liệu đã lưu trên Google Cloud @ hãy dùng chức năng Tải.,`,Tinh thông trường phái,Vứt bỏ,`,`,Hồi chiêu mọi phép,`
14,`,`,`,`,`,`,Mua thành công,Vừa,Lưu thất bại,Tối thượng,Tải ngay,`,Phép sở hữu,Chọn chuyên hóa,`,`,Nhận Mana,`
15,Sinh tử,`,`,`,`,`,Đã nhận trường phái,Lớn,Lưu dữ liệu thất bại @ do không truy cập được Google Play.,Nhận,Dùng vàng mua Điểm nghiên cứu để tăng chỉ số,`,Cổ vật sở hữu,Chọn thuộc tính,`,`,Hồi HP từ Cầu sinh mệnh,Sát thương nổ
16,Chết,`,`,`,`,`,Chạm để tiếp tục,Google Cloud,Tải thành công,Kích hoạt ở cấp 〈100〉 khi học phép kết hợp tương ứng.,Dùng đá quý mua trường phái để tăng sức mạnh,`,Phép sở hữu,Thuộc tính giúp phép mạnh hơn nữa. @ Hãy chọn một thuộc tính.,`,`,Phạm vi nhặt vật phẩm,Phạm vi nổ (cố định)
17,Hồi sinh,`,`,`,`,`,Nguyên liệu nghiên cứu,LƯU,Đã tải dữ liệu thành công.,Quay lại,Xem các vật thí nghiệm hỗ trợ sức mạnh cho bạn,`,Cổ vật sở hữu,Học,`,`,HP tối đa,`
18,`,`,`,`,`,`,Rút nguyên liệu nghiên cứu sẽ chọn <color=#FFEB9B>ngẫu nhiên</color> trường phái từ số lượt còn lại. @ Mỗi lần rút sẽ trừ đi số lượt tương ứng.,TẢI,Tải thất bại,Bạn có thể nâng phép kết hợp thành Tối thượng @ Bấm nút phía trên để xem,Bấm nút bên dưới để tiếp tục,`,Tạo trường phái mới,Không,`,`,Sát thương mọi phép,Sát thương phép
19,Đang tải tài nguyên.,Hãy kiểm tra kết nối mạng.,`,`,`,`,Xác nhận mua,Thoát game.,Tải dữ liệu thất bại @ do không truy cập được Google Play.,Bấm vào biểu tượng Tối thượng để xem,`,`,Tạm dừng,Bạn có thể nhận một thuộc tính.,`,`,HP tối đa kẻ địch,`
20,Gỡ cài đặt game sẽ xóa cả dữ liệu.,Không thể kết nối Google Play Games.,`,`,`,`,`,Hướng dẫn tải,Tải thất bại,Bạn có thể nâng {phép kết hợp} thành Tối thượng @ Chọn đúng [vật thí nghiệm] và [trường phái] để đạt cấp 〈100〉,`,`,Thông tin nhân vật,Bậc thầy,`,`,`,`
21,Hãy dùng chức năng Lưu/Tải Google Cloud trong màn hình Cài đặt.,Không thể tải thông tin bảng xếp hạng.,`,`,`,`,`,Bạn thật sự muốn tải dữ liệu?,Không tìm thấy dữ liệu lưu trên Google Play.,Mở khóa,`,`,Phép kết hợp,Không dùng được,"Tăng ATK, tốc độ di chuyển",Rương báu,`,`
22,`,`,`,`,`,`,`,Dữ liệu tại thời điểm trước đó sẽ được áp dụng.,Quay lại,{Phép kết hợp} mới đã được mở khóa. @ Bạn có thể tập trung cường hóa một phép.,`,`,Không dùng được,Né,Thời gian bất tử,Rương thánh tích,`,`
23,Magic Survival,`,`,`,`,`,`,Thực hiện,Tải thất bại,{Phép kết hợp} mới đã được mở khóa.,`,`,Học,s,Tăng phạm vi nhặt vật phẩm,Rương đen,`,`
24,`,`,`,`,`,`,`,Điểm lưu,Không phát hiện kết nối mạng. @ Hãy khởi động lại game,Công thức sát thương,`,`,Phép kết hợp,Cấp mở thuộc tính,`,Tháp đá,`,`
25,`,`,`,`,`,`,`,Độ trong suốt hiệu ứng,Dữ liệu lưu thủ công,Hiệu quả tăng khi ba chỉ số cân bằng.,`,`,"Học phép đạt yêu cầu @ để nhận cơ hội Phép kết hợp ở cấp 〈25, 50, 75〉.",Đổi lựa chọn,`,Tháp đá vỡ,`,`
26,`,`,`,`,`,`,`,`,Dữ liệu lưu tự động,`,`,`,Quay lại,Dùng được: ,`,`,`,`
