ID001,구역 이름,구역 효과,구역 골드 보상 배율,구역 보석 보상 일반,구역 보석 보상 무한01,구역 보석 보상 무한02,구역 보석 보상 무한03,구역 보석 보상 무한04,구역 보석 보상 무한05,구역 보석 보상 합계,구역 설명줄01,구역 설명줄02,구역 설명줄03,ID002,일지 이름,일지 조건 이름,일지 구역ID,일지 조건 설명,일지 조건 유형,일지 조건 값A,일지 조건 값B,일지 해금 구역,일지 보상 보석 개수,일지 설명줄01,일지 설명줄02,일지 설명줄03,일지 설명줄04,일지 설명줄05,일지 설명줄06,일지 설명줄07,일지 설명줄08,일지 설명줄09,일지 설명줄10,UI001,일지개수
0,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,0,Explain,Explain,0 ,Explain,Explain,0 ,0 ,0 ,0 ,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,기본,14
1,陣列地,`,120 ,15 ,8 ,8 ,8 ,7 ,3 ,34 ,位於研究所外圍被廢棄的市中心,這裡正在潛心分析著不同環境下精靈的變異過程。,`,1,召喚戰爭,陣列地,1 ,`,`,720 ,0 ,2 ,200 ,萬物皆富足的世界。,人們只是為了遊戲娛樂而發起了戰爭。,可是卻只由精靈和魔像參戰。,`,`,`,`,`,`,`,`,`
2,實驗室,`,150 ,18 ,10 ,10 ,10 ,9 ,4 ,43 ,這是進行病毒研究的設施，透過人為方式將精靈變異,進行操縱，用於了解病毒的行動模式。,`,2,侏儒,實驗室,2 ,`,`,720 ,0 ,3 ,300 ,對人類被排除在外的戰爭沒有很大的興趣。,所以製造出了與自身外表相像的玩具,將其填補成戰爭人員。,`,`,`,`,`,`,`,`,`
3,下水道,`,180 ,21 ,12 ,11 ,10 ,9 ,5 ,47 ,將從研究室排出的實驗用廢水全部焚燒,對剩餘的殘骸物進行化學處理後排入下水道。,`,3,污染,下水道,3 ,`,`,900 ,0 ,4 ,300 ,侏儒們的戰爭規模巨大，且十分華麗有趣。,但是在消耗性戰爭之中，無數具有破壞性的魔法,就連散落於世界各地的法力特性都能玷污。,`,`,`,`,`,`,`,`,`
4,郊外,`,210 ,23 ,13 ,12 ,11 ,10 ,5 ,51 ,位於市中心外圍的道路區域,曾擁有過非常發達的物資運輸業。,`,4,蜂群,郊外,4 ,`,`,900 ,0 ,5 ,300 ,在世界各地開始出現了一種來路不明的物種。,他們會捕食一切活著的生物,即使在處理之後，仍然春風吹又生。,`,人們根據此類現象，稱呼其為 [「蜂群」]。,`,`,`,`,`,`,`
5,植物園,`,240 ,24 ,13 ,12 ,11 ,10 ,6 ,52 ,圍繞著整個研究中心，以休養為目的而設計,為研究員們營造出足夠舒適的環境。,`,5,研究,植物園,5 ,`,`,900 ,0 ,6 ,300 ,雖然層出不窮的蜂群被判定具有威脅性,但學者們也把這種現象當作是另一種遊戲。,`,`,`,`,`,`,`,`,`,`
6,學院,開始等級 +10,270 ,25 ,14 ,13 ,12 ,11 ,6 ,56 ,該設施是為了研究員們的學術修養而被設立的,在這裡可以接觸到各種各樣的魔法及知識。,`,6,分類,學院,6 ,`,`,900 ,0 ,7 ,300 ,蜂群的源頭已被明確是來自法力。,由於是法力造物，因此被歸類為精靈,但它們隨著刺激而自我複製成長的習性,似乎跟病毒相似。,`,`,`,`,`,`,`,`
7,發電廠,`,300 ,27 ,15 ,14 ,13 ,12 ,7 ,61 ,隨著實驗規模的擴大，為了供給更富足的電量,研究所附近建設了一座大型發電園區。,`,7,法力珠,發電廠,7 ,`,`,1080 ,0 ,8 ,400 ,由回收的蜂群萃取物製造出來的物質,法力的供給源比想象中更有成效。,`,`,`,`,`,`,`,`,`,`
8,培養室,`,330 ,29 ,16 ,15 ,14 ,13 ,7 ,65 ,已分析的病毒經人為製作造所形成的區域,正在實施嚴格的管制。,`,8,魔人,培養室,8 ,`,`,1080 ,0 ,9 ,400 ,蜂群可以僅透過刺激而成長。,如果判斷此目標存在旗鼓相當的威脅性,它們還能變異成更具有攻擊性的形態。,`,`,`,`,`,`,`,`,`
9,水庫,`,360 ,30 ,17 ,16 ,15 ,14 ,8 ,70 ,為了大規模的用水供給，而將湖泊園區改良後所建造的設施,隨著規模的不斷擴張，也與城市相通了。,`,9,敵軍,水庫,9 ,`,`,1080 ,0 ,10 ,400 ,需要找到能提升蜂群潛力的對手。,由於罪犯們已經不再是它們的對手,決定大力投入使用侏儒。,`,`,`,`,`,`,`,`,`
