ID001,메인 메뉴,자동 저장,학파선택,구역선택,연구,실험체,상점,설정,구글 클라우드,도감,일지,게임종료,전투 인터페이스,전투 정보,전투 기록,아티팩트 등급,전투 능력치,마법 능력치
0,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain
1,Empezar juego,Cargar,Clase,Entrar en la zona,Investigación,Sujeto de pruebas,Tienda,Ajustes,Guardar,Enciclopedia,Diario,¿Quieres salir del juego?,Nivel actual,Magias que tienes,Récord de supervivencia,Normal,PS,Daño
2,Investigación,¿Quieres continuar donde lo dejaste?,Elige una clase,Adquisición de Oro,Seleccionar investigación,Selecciona un sujeto de pruebas,Si desinstalas el juego también eliminarás tus datos. @Usa la función para Guardar/Cargar de Google Cloud en la pantalla de Opciones.,Idioma,Guardando datos en Google Cloud.,Diario,Notas de situación,Salir,Tiempo sobrevivido,Artefactos que tienes,Experimento completado,Raro,Regen. de PS por seg,Intervalo de Daño
3,Sujeto de pruebas,Confirmar,Seleccionar,¿Deseas entrar en la zona?,Comprar puntos de investigación,Seleccionar,Oro,Sonido,Sí,Magia,Notas de experimentos,Volver,Enemigos derrotados,Ya tienes este artefacto.,Experimento fallido,Épico,Daño recibido,Vel. de lanzamiento
4,Tienda,Cancelar,Maestría,Pagar,Investigación completada,Aplicando,Gemas,ON,Cancelar,Combinación,Desbloquear región,¿Quieres abandonar? @ Irás a la pantalla de resultados.,Volver al juego,Volver,Récord de combate,Especial,Evasión,Intervalo de lanzamiento
5,Opciones,Restaurar Oro,Maestro,Modo infinito,Vas a comprar un punto de investigación.,Sujeto de pruebas de ㅁ,Salvación,OFF,Cargar,Artefacto,Oro,Abandonar,Abandonar,Seleccionar Magia,Efecto especial,Legendario,Vel. de movimiento,Alcance de explosión
6,Enciclopedia,Vas a recibir el Oro que obtuviste @ debido a que la sesión de juego anterior no se cerró correctamente.,`,Modo Difícil,Investigación,Clase de ㅁ,Quitar todos los anuncios en el juego,Mando,Cargar datos de Google Cloud.,Volver,Aceptar,Volver,Salir del juego,Maná,Confirmar,`,Tasa de golpe Crítico,Tamaño
7,Diario,Adquisición de Oro: ,`,(Difícil),Revertir,`,Ayuda adicional,Fijo,Sí,Obtén artefactos en esta zona,Guardado en la Nube,`,Nivel de personaje,Recuperar,`,`,Mult. de Golpe Crítico,Duración
8,Rango,Confirmar,`,`,Puntos de Investigación,`,Adquisición de Oro en área x2,Tocar,Cancelar,Obtén especializaciones en esta zona,Guarda tu progreso en Google Cloud @ Podrás continuar jugando en otros dispositivos.,`,Oro,No es posible recuperar el maná,`,Artefacto normal,ATQ,Número
9,`,`,`,`,`,`,Material de investigación,Izquierda,Procesando...,2 Combinaciones de Magia,Guardar Ahora,`,Células obtenidas,Seleccionar artefacto,`,Artefacto raro,Daño de todas las Magias (reducción),Tiempo de recup.
10,`,`,`,`,`,`,Adquirir clase aleatoria.,Centro,Error de conexión,Todas las magias pasivas,Modo Difícil,`,Progreso del experimento,Selecciona el artefacto deseado,`,Artefacto épico,Amplificar ATQ,Efecto de amplificación
11,Incontables hechizos destructivos fueron usados sin cuidado en las guerras entre magos que duraron décadas...,`,`,`,`,`,Material de investigación,Derecha,"No se detecta conexión a la red. @ Por favor, inténtelo de nuevo o conéctate a una red",Disponible solo en la tercera combinación,Nueva dificultad desbloqueada. @ Enemigos aún más poderosos se aproximan.,`,Obtenido,Obtener,`,Artefacto especial,Tamaño de Magias,Vel. de giro
12,"Los restos de esos hechizos se mezclaron con los espíritus que habitaban en la naturaleza, cuyas fauces ahora consumen a todos los seres vivos uno por uno.",`,`,`,`,`,Material de investigación x10,Tamaño del mando,Guardado correctamente,Obtendrás un poder formidable.,Cargar,`,Investigación completada,Descartar,`,Artefacto legendario,Duración de Magias,`
13,`,`,`,`,`,`,Solo 1 vez,Pequeño,Datos guardados correctamente.,Sinergia,Si tienes datos guardados en Google Cloud @ utiliza la función de carga.,`,Maestría de clase,Descartar,`,`,Recup. de Magias,`
14,`,`,`,`,`,`,Compra completada,Mediano,Fallo al guardar,Habilidad Definitiva,Cargar Ahora,`,Magias que tienes,Seleccionar especialización,`,`,Adquisición de maná,`
15,Vida o muerte,`,`,`,`,`,Clase obtenida,Grande,Fallo al guardar los datos @ porque no se ha podido acceder a Google Play.,Adquirir,Compra puntos de Investigación con Oro y mejora tus estadísticas,`,Artefactos que tienes,Seleccionar atributo,`,`,PS de orbe,Daño de explosión
16,Morir,`,`,`,`,`,Toca para continuar,Google Cloud,Cargado correctamente,La {combinación de Magias} se activa al nivel 〈100〉 cuando se aprende la combinación correspondiente.,Compra Clases con Gemas y mejora tus habilidades,`,Magias que tienes,Los atributos hacen que las Magias sean más fuertes. @ Selecciona un atributo.,`,`,Alcance de recogida,Alcance de explosión (fijo)
17,Revivir,`,`,`,`,`,Material de investigación,GUARDAR,Datos cargados correctamente.,Regresar,Consulta varios Sujetos de pruebas que apoyan tus habilidades,`,Artefactos que tienes,Aprender,`,`,PS máx.,`
18,`,`,`,`,`,`,Las tiradas de materiales de investigación seleccionará clases <color=#FFEB9B>aleatoriamente</color> de la cantidad restante. @ Cada tirada eliminará la cantidad correspondiente.,CARGAR,Fallo al cargar,Puedes mejorar la combinación de Magias a una Habilidad Definitiva @ Haz clic en el botón superior para verificarlo.,Pulsa el botón inferior para continuar,`,Crear nueva clase,Cancelar,`,`,Todo el daño mágico,Daño mágico
19,Cargando recursos.,Comprueba tu conexión a Internet.,`,`,`,`,Confirmar compra,Salir del juego.,Fallo al cargar los datos @ porque no se ha podido acceder a Google Play.,Haz clic en el ícono de la Habilidad Definitiva para verificarlo.,`,`,Pausa,Puedes obtener un atributo.,`,`,PV máx. del enemigo,`
20,Si desinstalas el juego también eliminarás tus datos.,No se puede conectar a Google Play Games.,`,`,`,`,`,Guía de Carga,Fallo al cargar,Puedes mejorar la {combinación de Magias} a una Habilidad Definitiva @ Selecciona el [Sujeto de Prueba] y la [Escuela] adecuados y alcanza el nivel 〈100〉.,`,`,Info. de personaje,Maestro,`,`,`,`
21,Usa la función para Guardar/Cargar de Google Cloud en la pantalla de Opciones.,No se puede cargar la información de la clasificación.,`,`,`,`,`,¿Realmente deseas cargar los datos?,No se han encontrado datos en Google Play.,Desbloqueado,`,`,Combinación de Magia,No utilizable,"Aumenta el ATQ, Vel. movimiento",Cofre del Tesoro,`,`
22,`,`,`,`,`,`,`,Se aplicarán los datos de un punto anterior.,Volver,Una nueva {combinación de Magias} ha sido desbloqueada. @ Puedes concentrarte en mejorar una sola magia.,`,`,No utilizable,Evitar,Duración de invencibilidad,Caja de Reliquias,`,`
