ID,이름,유형,특성A레벨,특성B레벨,특성C레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,궁극기 이름,궁극기 조건,궁극기 설명줄01,UI002,기술 개수
0,Tên,Loại,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Tên,0,Explain,조합,63
1,Thiên nộ,조합,417 ,444 ,0 ,<color=#F5F5E1>,Vụ nổ Giông bão bao phủ phạm vi rộng hơn nhưng không mở rộng thêm.,<color=#6EDCFF>,Tăng sát thương Giông bão 5X,<color=#6EDCFF>,Tăng số lượng Giông bão 3X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,5,914 ,3,1 ,0 ,1 ,0 ,Kẻ gọi bão,4,Giông bão đánh xuống tức thì.,`,0
2,Kiếm niệm lực,조합,381 ,470 ,0 ,<color=#F5F5E1>,Đạn Tinh linh xuyên qua kẻ địch nhanh hơn và dài hơn,<color=#F5F5E1>,"Với mỗi [0.15 giây] hồi chiêu Tinh linh giảm đi, [hệ số sát thương] tăng thêm 〈1〉",<color=#F5F5E1>,"Với mỗi [0.15 giây] hồi chiêu Tinh linh giảm đi, [số đòn đánh] tăng thêm 〈1〉",<color=#6EDCFF>,Tăng sát thương Tinh linh 3X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,971 ,3,1 ,0 ,1 ,0 ,1 ,0 ,Kiếm khí,7,Đạn Tinh linh có cơ hội nhỏ khuếch đại sức mạnh vượt trội và được cường hóa tỷ lệ thuận với tỷ lệ chí mạng.,`,0
3,Loạn xạ,조합,497 ,382 ,0 ,<color=#F5F5E1>,Tia năng lượng tách thành [4] và bắn theo mọi hướng,<color=#F5F5E1>,Đạn Tia năng lượng tiếp tục bay về phía trước.,<color=#6EDCFF>,Tăng sát thương Tia năng lượng 10X,<color=#6EDCFF>,Tăng số lượng Tia năng lượng 3X,<color=#6EDCFF>,Tăng thời gian Tia năng lượng 30%,<color=#FFFFFF>,`,488 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,10,1186 ,3 ,1 ,0 ,1 ,0 ,`,0,`,`,0
4,Địa lưu,조합,517 ,472 ,0 ,<color=#F5F5E1>,Tia bí thuật có thể tấn công mục tiêu trong phạm vi rộng hơn.,<color=#F5F5E1>,Tia bí thuật đổi hướng mỗi 〈0.5 giây〉.,<color=#F5F5E1>,Tia bí thuật nhận 〈1X〉 [hệ số sát thương] cho mỗi [1 giây] tồn tại,<color=#6EDCFF>,Tăng sát thương Tia bí thuật 4X,<color=#6EDCFF>,Giảm hồi chiêu Tia bí thuật 50%,<color=#FFFFFF>,`,542 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,4,1 ,0 ,1 ,0 ,1 ,0 ,아칸,0,`,`,0
5,Khí thế chiến tranh,조합,444 ,507 ,0 ,<color=#F5F5E1>,"[Hồi chiêu] Thiên thạch nhanh hơn tùy theo số lượng Thiên thạch, @ và chúng cũng được tạo theo cùng [nhịp] với [hồi chiêu].",<color=#F5F5E1>,[Hồi chiêu] Thiên thạch cũng giảm 〈0 đến 80%〉 theo mỗi Thiên thạch.,<color=#6EDCFF>,Tăng sát thương Thiên thạch 6X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1021 ,6 ,1 ,0 ,1 ,0 ,1 ,0 ,Tâm chấn,5,Thiên thạch trở nên khổng lồ và oanh tạc toàn bộ chiến trường.,`,0
6,Phương trình quỷ,조합,371 ,499 ,0 ,<color=#F5F5E1>,Cầu lửa được phóng cùng lúc theo nhiều hướng @ và hiệu ứng thuộc tính 《Big Bang》 sẽ không còn hoạt động.,<color=#6EDCFF>,Tăng sát thương Cầu lửa 6.66X,<color=#6EDCFF>,Tăng xuyên thấu Cầu lửa thêm 2,<color=#6EDCFF>,Tăng số lượng Cầu lửa 4X,<color=#FF6464>,Tăng hồi chiêu Cầu lửa 3.3X,<color=#FFFFFF>,`,183 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,666,884 ,4,895 ,330 ,1 ,0 ,Nemesis,11,Sát thương Cầu lửa tăng theo mỗi vụ nổ liên tiếp.,`,0
7,Cuồng loạn,조합,544 ,366 ,0 ,<color=#F5F5E1>,Chớp điện sinh ra nhanh hơn và xa hơn,<color=#F5F5E1>,"Cộng dồn số lần thi triển bắt đầu ở 〈3〉 và đặt lại ở 〈7〉; với mỗi mức giảm hồi chiêu từ [5 giây] xuống [0.5 giây], [cộng dồn số lần thi triển] tăng thêm 〈1〉",<color=#6EDCFF>,Tăng sát thương Chớp điện 7X,<color=#6EDCFF>,Giảm hồi chiêu Chớp điện 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,609 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1301 ,7,1 ,0 ,1 ,0 ,1 ,0 ,Cuồng bạo,22,"Cộng dồn số lần thi triển Chớp điện luôn được giữ ở mức tối đa, @ và số cộng dồn tối đa tăng tỷ lệ thuận với tỷ lệ chí mạng.",`,0
8,Cuồng nộ ma quái,조합,373 ,390 ,0 ,<color=#F5F5E1>,Cầu lửa [xuyên qua] mọi kẻ địch và di chuyển ngẫu nhiên,<color=#F5F5E1>,Cầu lửa chỉ phát nổ với sức mạnh 〈3X〉 khi biến mất,<color=#F5F5E1>,Sát thương Cầu lửa tăng tỷ lệ thuận với thời gian tồn tại,<color=#F5F5E1>,Mỗi [1] điểm [xuyên thấu] Cầu lửa tăng [hệ số sát thương] thêm 〈3〉,<color=#6EDCFF>,Tăng sát thương Cầu lửa 4X,<color=#6EDCFF>,Giảm hồi chiêu Cầu lửa 33%,194 ,33 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,4,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,0
9,Phản ứng,조합,498 ,409 ,0 ,<color=#F5F5E1>,Tia năng lượng sinh ra theo mọi hướng.,<color=#F5F5E1>,"Tia năng lượng nổ theo nhịp 〈0.5 giây〉, mỗi vụ nổ tăng sức mạnh của chúng 〈20%〉.",<color=#6EDCFF>,Tăng sát thương Tia năng lượng 9X,<color=#FF6464>,Giảm số lượng Tia năng lượng 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,487 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,9,1 ,0 ,1 ,0 ,1 ,0 ,오버차지,0,`,`,0
10,Xoáy,조합,463 ,389 ,0 ,<color=#F5F5E1>,Lốc xoáy được tạo gần nhân vật và xoay quanh.,<color=#F5F5E1>,Lốc xoáy dần dần [thu nhỏ] kích thước.,<color=#6EDCFF>,Tăng sát thương Lốc xoáy 9X,<color=#6EDCFF>,Tăng thời gian Lốc xoáy 9X,<color=#6EDCFF>,Giảm hồi chiêu Lốc xoáy 50%,<color=#FFFFFF>,`,406 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1091 ,9,1095 ,9,1 ,0 ,1 ,0 ,Bóng tối,10,"Lốc xoáy thỉnh thoảng hiện ra ở dạng hợp nhất, mạnh mẽ hơn.",`,`
11,Hơi thở lửa,조합,490 ,515 ,0 ,<color=#F5F5E1>,Thiêu hủy không còn bắn sang hai bên nhân vật @ mà bắn theo [năm hướng] tỏa ra từ nhân vật.,<color=#F5F5E1>,Thiêu hủy được tạo với tầm xa hơn và tốc độ nhanh hơn.,<color=#6EDCFF>,Tăng sát thương Thiêu hủy 6X,<color=#6EDCFF>,Tăng số lượng Thiêu hủy 30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,464 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1161 ,6,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
12,Lửa ether,조합,508 ,488 ,0 ,<color=#F5F5E1>,Mỗi vụ nổ Bão tuyết tách thành 〈2〉.,<color=#6EDCFF>,Tăng sát thương Bão tuyết 8X,<color=#6EDCFF>,Tăng kích thước Bão tuyết 20%,<color=#6EDCFF>,Giảm nhịp Bão tuyết 30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,516 ,20 ,522 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1211 ,8,1 ,0 ,1 ,0 ,1 ,0 ,아마테라스,0,`,`,`
13,Không kích quỹ đạo,조합,417 ,507 ,0 ,<color=#F5F5E1>,Giông bão được tạo nhanh chóng gần một vị trí định sẵn.,<color=#6EDCFF>,Tăng sát thương Giông bão 9X,<color=#6EDCFF>,Tăng kích thước Giông bão 30%,<color=#FF6464>,Tăng hồi chiêu Giông bão 30X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,216 ,30 ,220 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,9,1 ,0 ,1 ,0 ,1 ,0 ,익스터미네이션,0,`,`,`
14,Tạo neutron,조합,462 ,391 ,0 ,<color=#F5F5E1>,Mọi Lốc xoáy được [hợp nhất] thành một.,<color=#F5F5E1>,"Lốc xoáy không còn phóng đạn, @ nhưng [phình to] nhanh chóng và tốc độ giảm dần.",<color=#F5F5E1>,Mỗi Lốc xoáy tăng [kích thước] của Lốc xoáy mới thêm 〈25%〉.,<color=#6EDCFF>,Tăng sát thương Lốc xoáy 10X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1091 ,10,1 ,0 ,1 ,0 ,1 ,0 ,Omega,10,"Thời gian tồn tại của Lốc xoáy chuyển hóa thành sát thương, và nó phát nổ khi kết thúc.",`,`
