ID001,메인 메뉴,자동 저장,학파선택,구역선택,연구,실험체,상점,설정,구글 클라우드,도감,일지,게임종료,전투 인터페이스,전투 정보,전투 기록,아티팩트 등급,전투 능력치,마법 능력치
0,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain
1,Iniciar jogo,Carregar,Classe,Entrar na área,Pesquisa,Cobaia,Loja,Configurações,Salvar,Enciclopédia,Diário,Deseja sair do jogo?,Nível atual,Magia possuída,Recorde de sobrevivência,Normal,Vida,Dano
2,Pesquisa,Deseja continuar de onde parou?,Selecione uma classe,Aquisição de ouro,Selecionar pesquisa,Selecionar cobaia,Desinstalar o jogo também removerá seus dados.@Use a função Salvar/Carregar do Google Cloud na tela de Opções.,Idioma,Salvando dados no Google Cloud.,Diário,Anotações da situação,Sair,Tempo sobrevivido,Artefato possuído,Experimento bem-sucedido,Raro,Regeneração de vida,Intervalo de dano
3,Cobaia,Confirmar,Selecionado,Deseja entrar na zona?,Comprar Pontos de Pesquisa,Selecionar,Ouro,Som,Sim,Magia,Notas do experimento,Voltar,Inimigos mortos,Você possui este artefato.,Experimento fracassado,Épico,Dano sofrido,Velocidade de lançamento
4,Loja,Cancelar,Maestria,Pagar,Pesquisa concluída,Aplicando,Gema,LIG.,Cancelar,Combinação,Desbloquear região,Deseja desistir? @ Você irá para a tela de resultados.,Retomar jogo,Voltar,Recorde de combate,Especial,Evasão,Intervalo de lançamento
5,Opções,Restaurar ouro,Mestre,Modo Infinito,Você comprará um Ponto de Pesquisa.,Cobaia de ㅁ,Salvação,DESL.,Carregar,Artefato,Ouro,Desistir,Desistir,Selecionar magia,Efeito especial,Lendário,Velocidade de movimento,Alcance de explosão
6,Enciclopédia,Você receberá o ouro obtido @ pois a sessão de jogo anterior não terminou corretamente.,`,Modo Difícil,Pesquisa,Classe de ㅁ,Remover todos os anúncios no jogo,Direcional,Carregue seus dados do Google Cloud.,Voltar,Confirmar,Voltar,Sair do jogo,Mana,Confirmar,`,Taxa de Golpe Crítico,Tamanho
7,Diário,Aquisição de ouro: ,`,(Difícil),Reverter,`,Suporte adicional,Fixo,Sim,Obtenha Artefatos nesta área,Salvamento na Nuvem,`,Nível do personagem,Recuperar,`,`,Mult. de Golpe Crítico,Duração
8,Classificação,Confirmar,`,`,Pontos de Pesquisa,`,Aquisição de ouro na área x2,Toque,Cancelar,Obtenha Especializações nesta área,Salve seu progresso no Google Cloud @ Você poderá continuar jogando em outros dispositivos,`,Ouro,Recuperação de mana não é mais possível,`,Artefato Normal,Ataque,Número
9,`,`,`,`,`,`,Material de Pesquisa,Esquerda,Processando...,2 Combinações Mágicas,Salvar Agora,`,Células obtidas,Selecionar artefato,`,Artefato Raro,Todo o dano mágico (reduzir),Recarga
10,`,`,`,`,`,`,Adquira uma classe aleatória.,Centro,Erro de rede,Todas as magias passivas,Modo Difícil,`,Progresso do experimento,Selecione o artefato desejado,`,Artefato Épico,Amplificar ataque,Efeito de amplificação
11,Incontáveis feitiços destrutivos usados desordenadamente na guerra de décadas entre os magos...,`,`,`,`,`,Material de Pesquisa,Direita,Conexão de rede não detectada. @ Tente novamente ou conecte-se a uma rede.,Disponível apenas na terceira combinação,Uma nova dificuldade foi desbloqueada @ Inimigos ainda mais poderosos se aproximam,`,Obtido,Obter,`,Artefato Especial,Todo o tamanho da magia,Velocidade de rotação
12,"Os restos desses feitiços infiltraram-se nos espíritos que residiam na natureza, cuja boca agora consome todos os seres vivos, pedaço por pedaço.",`,`,`,`,`,Material de Pesquisa x10,Tamanho do direcional,Salvo com sucesso,Você obterá um grande poder.,Carregar,`,Pesquisa concluída,Descartar,`,Artefato Lendário,Toda a duração mágica,`
13,`,`,`,`,`,`,Apenas 1 vez,Pequeno,Dados salvos com sucesso.,Sinergia,Se houver dados salvos no Google Cloud @ Use a função Carregar,`,Maestria de classe,Descartar,`,`,Toda a recarga mágica,`
14,`,`,`,`,`,`,Compra concluída,Médio,Falha ao salvar,Habilidade Suprema,Carregar Agora,`,Magia possuída,Selecionar especialização,`,`,Aquisição de mana,`
