ID001,메인 메뉴,자동 저장,학파선택,구역선택,연구,실험체,상점,설정,구글 클라우드,도감,일지,게임종료,전투 인터페이스,전투 정보,전투 기록,아티팩트 등급,전투 능력치,마법 능력치
0,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain
1,Spiel starten,Laden,Klasse,Gebiet betreten,Forschung,Testsubjekt,Laden,Einstellungen,Speichern,Enzyklopädie,Tagebuch,Willst du das Spiel verlassen?,Aktuelle Stufe,Besessene Magie,Überlebensrekord,Normal,LP,Schaden
2,Forschung,"Willst du dort weitermachen, wo du aufgehört hast?",Wähle eine Klasse,Goldbeschaffung,Forschung wählen,Wähle ein Testsubjekt,"Wenn du das Spiel deinstallierst, werden auch deine Daten gelöscht: Benutze die Google Cloud Speichern-Laden-Funktion im Optionsfenster.",Sprache,Speichern von Daten in der Google Cloud.,Tagebuch,Situationsnotizen,Beenden,Überlebte Zeit,Artefakt im Besitz,Experiment erfolgreich,Selten,LP-Regeneration pro Sek,Schadensintervall
3,Testperson,Bestätigen,Ausgewählt,Möchtest du die Zone betreten?,Forschungspunkte kaufen,Auswählen,Gold,Ton,Ja,Magie,Experimentnotizen,Zurück,Getötete Gegner,Du besitzt dieses Artefakt.,Experiment gescheitert,Episch,Erlittener Schaden,Startgeschwindigkeit
4,Laden,Abbrechen,Meisterschaft,Bezahlen,Forschung abschließen,Wird angewendet,Edelstein,EIN,Abbrechen,Kombination,Region freischalten,Willst du aufgeben? @ Du gelangst zum Ergebnisbildschirm.,Spiel fortsetzen,Zurück,Kampfrekord,Spezial,Ausweichen,Startintervall
5,Optionen,Gold wiederherstellen,Meister,Unendlicher Modus,Du wirst einen Forschungspunkt kaufen.,ㅁ Testsubjekt,Rettung,AUS,Laden,Artefakt,Gold,Aufgeben,Aufgeben,Magie auswählen,Spezialeffekt,Legendär,Bewegungstempo,Explosionsreichweite
6,Enzyklopädie,"Du erhältst das Gold, das du @ erhalten hast, da die vorherige Spielsitzung nicht ordnungsgemäß beendet wurde.",`,Hard-Modus,Forschung,ㅁ Klasse,Entferne alle Werbeeinblendungen im Spiel,Joystick,Lade deine Daten aus der Google Cloud.,Zurück,OK,Zurück,Spiel beenden,Mana,Bestätigen,`,Kritische Trefferquote,Größe
7,Tagebuch,Gold-Erwerb: ,`,(Hard),Zurückkehren,`,Zusätzliche Unterstützung,Festgelegt,Ja,Artefakte in diesem Gebiet erhalten,Cloud-Speicherung,`,Charakterstufe,Abholen,`,`,Krit. Treffer-Multiplikator,Dauer
8,Rang,Bestätigen,`,`,Forschungspunkte,`,2-fache Bereichsgoldgewinnung,Antippen,Abbrechen,Erhalte Spezialisierungen in diesem Gebiet,Speichere deinen Fortschritt in der Google-Cloud @ Du kannst auf anderen Geräten weiterspielen.,`,Gold,Mana-Rückgewinnung nicht mehr möglich,`,Normales Artefakt,ANG,Nummer
9,`,`,`,`,`,`,Forschungsmaterial,Links,Verarbeitung...,2 magische Kombinationen,Jetzt speichern,`,Erhaltene Zellen,Artefakt auswählen,`,Seltenes Artefakt,Alle Magieschäden (Verringern),Abklingzeit
10,`,`,`,`,`,`,Erhalte eine zufällige Klasse.,Zentrum,Netzwerk-Fehler,Alle passiven Zauber,Hard-Modus,`,Experiment-Fortschritt,Wähle das gewünschte Artefakt aus,`,Episches Artefakt,ANG verstärken,Verstärkungseffekt
11,"Unzählige zerstörerische Zaubersprüche, die in dem jahrzehntelangen Krieg zwischen den Magiern wahllos eingesetzt wurden...",`,`,`,`,`,Forschungsmaterial,Rechts,Netzwerkverbindung nicht erkannt. @ Bitte versuche es erneut oder stelle eine Verbindung zu einem Netzwerk her,Nur in der 3. Kombination verfügbar,Ein neuer Schwierigkeitsgrad wurde freigeschaltet. @ Noch stärkere Gegner erscheinen.,`,Erhalten,Erhalten,`,Besonderes Artefakt,Alle magischen Größen,Rotationsgeschwindigkeit
12,"Die Überreste dieser Zauber sickerten in die Geister der Natur, deren Schlund nun alle Lebewesen Stück für Stück verschlingt.",`,`,`,`,`,10-faches Forschungsmaterial,Joystick-Größe,Speichern erfolgreich,Du wirst große Macht erlangen.,Laden,`,Forschung abschließen,Ablegen,`,Legendäres Artefakt,Alle Magiedauer,`
13,`,`,`,`,`,`,Nur 1 Mal,Klein,Daten erfolgreich gespeichert.,Synergie,"Wenn Daten in der Google-Cloud gespeichert sind, @ nutze bitte die Ladefunktion.",`,Klassenbeherrschung,Ablegen,`,`,Alle Magieabklingzeit,`
14,`,`,`,`,`,`,Kauf abgeschlossen,Mittel,Speichern fehlgeschlagen,Ultimativ,Jetzt laden,`,Besessene Magie,Spezialisierung wählen,`,`,Mana-Erwerb,`
15,Leben oder Tod,`,`,`,`,`,Erlangte Klasse,Groß,Das Speichern der Daten ist fehlgeschlagen @ da Google Play nicht zugänglich war.,Erworben,Kaufe Forschungspunkte mit Gold und verstärke deine Werte,`,Artefakt im Besitz,Attribut wählen,`,`,Lebenskugel-LP-Erholung,Explosionsschaden
16,Sterben,`,`,`,`,`,Zum Fortfahren antippen,Google Cloud,Erfolgreich laden,"Wenn du die Bedingungen erfüllende Kombination lernst, wird sie auf Level 〈100〉 aktiviert.",Kaufe Klassen mit Edelstein und verstärke deine Fähigkeiten,`,Besessene Magie,Attribute machen Magie noch stärker. @ Wähle ein Attribut aus.,`,`,Aufhebreichweite,Explosionsreichweite (fest)
17,Wiederbeleben,`,`,`,`,`,Forschungsmaterial,SPEICHERN,Daten erfolgreich geladen.,Zurück,"Sieh dir verschiedene Testsubjekte an, die deine Fähigkeiten unterstützen",`,Artefakt im Besitz,Lernen,`,`,Max LP,`
18,`,`,`,`,`,`,Beim Ziehen von Forschungsmaterial werden <color=#FFEB9B>zufällig</color> Klassen aus den verbleibenden Stapeln ausgewählt. @ Bei jeder Ziehung wird die entsprechende Anzahl an Stapeln entfernt.,LADEN,Laden fehlgeschlagen,"Du kannst Kombinationen zu einer Ultimativen Fähigkeit verstärken @ Klicke oben auf die Schaltfläche, um es zu prüfen","Drücke den unteren Button, um fortzufahren",`,Neue Klasse erstellen,Abbrechen,`,`,Gesamter Magieschaden,Magieschaden
19,Ressourcen laden.,Internetverbindung prüfen.,`,`,`,`,Kauf bestätigen,Das Spiel beenden.,"Das Laden der Daten ist fehlgeschlagen @, da Google Play nicht zugänglich war.","Klicke auf das Icon der Ultimativen Fähigkeit, um es zu prüfen",`,`,Pause,Du kannst ein Attribut erhalten.,`,`,Max. LP des Gegners,`
20,"Wenn du das Spiel deinstallierst, werden auch deine Daten gelöscht.",Verbindung zu Google Play Games fehlgeschlagen.,`,`,`,`,`,Ladehinweis,Laden fehlgeschlagen,"Du kannst {Kombinationsmagie} zu einer Ultimativen Fähigkeit verstärken @ Wähle passende [Versuchsperson] und [Schule], um Level 〈100〉 zu erreichen",`,`,Charakter-Infos,Meister,`,`,`,`
21,Benutze die Google Cloud Speichern-Laden-Funktion im Optionsfenster.,Bestenlisteninformationen konnten nicht geladen werden.,`,`,`,`,`,Möchtest du die Daten wirklich laden?,Keine Speicherdaten auf Google Play gefunden.,Freigeschaltet,`,`,Magische Kombination,Unbenutzbar,"ANG, Bewegungsgeschwindigkeit erhöhen",Schatzkiste,`,`
22,`,`,`,`,`,`,`,Es werden Daten eines früheren Zeitpunkts angewendet.,Zurück,"Eine neue {Kombinationsmagie} wurde freigeschaltet. @ Du kannst dich darauf konzentrieren, eine Magie stark zu verstärken.",`,`,Unbenutzbar,Ausweichen,Unbesiegbarkeitsdauer,Relikttruhe,`,`
23,Magisches Überleben,`,`,`,`,`,`,Ausführen,Laden gescheitert,Eine neue {Kombinationsmagie} wurde freigeschaltet.,`,`,Lernen,s,Reichweite zum Aufnehmen von Gegenständen erhöhen,Schwarze Kiste,`,`
24,`,`,`,`,`,`,`,Speicherzeitpunkt,Netzwerkverbindung nicht erkannt. @ Bitte starte das Spiel neu,Schadensformel,`,`,Magie-Kombination,Attributstufe freischalten,`,Obelisk,`,`
25,`,`,`,`,`,`,`,Effekttransparenz,Manuell gespeicherte Daten,"Die Effizienz steigt, je ausgewogener die drei Werte sind.",`,`,"Erlerne die Magie, die die Voraussetzungen @ erfüllt, um die Chance auf Magiekombination auf den Stufen 〈25, 50, 75〉 zu erhalten.",Neu würfeln,`,Zerbrochener Obelisk,`,`
26,`,`,`,`,`,`,`,`,Automatisch gespeicherte Daten,`,`,`,Zurück,Verwendbar: ,`,`,`,`
27,`,`,`,`,`,`,`,`,`,`,`,`,"Lerne die Magie, die die Voraussetzungen erfüllt, um Magische Kombinationen zu benutzen. @ Drücke den Knopf oben, um zu sehen, welche Kombinationen möglich sind.",Nicht lernen.,`,`,`,`
28,`,`,`,`,`,`,`,`,`,`,`,`,Kaufen,Wählen Sie einen Zauber zur Stärkung,`,`,`,`
29,`,`,`,`,`,`,`,`,`,`,`,`,Möchtest du mit [Neu würfeln] die Auswahl ändern?,"Wählen Sie das Produkt aus, das Sie kaufen möchten",`,`,`,`
30,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`
